gene_name,selected_probe_id,GSM2510565,GSM2510566,GSM2510567,GSM2510568,GSM2510569,GSM2510570,GSM2510571,GSM2510572,GSM2510573,GSM2510574,GSM2510575,GSM2510576
Sh2d4b,A_55_P2147260,-1.512914056,-1.626227342,-1.99664632,-2.02382581,-1.781340841,-2.077141974,-2.014083673,-1.442638403,-1.782928528,-1.755916827,-1.695603971,-1.581215325
Sh2d5,A_52_P571746,3.688520433,3.762988742,3.433263716,3.452855241,3.709836712,3.587608,3.32301017,3.593068644,3.51330744,3.327842785,3.470064822,3.734454224
Sh2d6,A_52_P523174,-1.073154414,-0.724807127,-1.01105183,-0.753725707,-0.713660494,-0.615748844,-0.575201384,-0.726212783,-0.641744507,-0.083281823,-0.730631567,-0.95590942
Sh2d7,A_55_P2135516,1.30856318,1.48211453,1.175089842,1.278911505,1.154699053,1.545046268,1.508864604,1.240580361,1.148918952,1.199854081,1.297460275,1.325532908
Sh3bgr,A_55_P2033135,-1.390599926,-1.534036652,-1.335935103,-1.455754547,-1.376315665,-1.493607741,-1.232831716,-1.362892342,-1.666528765,-1.335475805,-1.257437506,-1.296075362
Sh3bgrl,A_52_P426513,1.694812099,1.675677672,1.595825002,1.335499465,1.620993648,1.363207018,1.32159978,1.517979037,1.300231378,1.163136212,1.585750524,1.583703353
Sh3bgrl2,A_55_P2054744,2.09619768,2.14520225,2.036999447,2.098660736,2.166133451,2.204931359,1.97986766,2.171567314,1.940109098,2.014270082,2.075247329,2.183196516
Sh3bgrl3,A_55_P1993940,6.11121829,6.01959169,5.856992016,5.734444893,6.102254251,5.784782054,5.732917388,5.791959661,5.768146048,5.706622789,5.771856531,6.089719455
Sh3bp1,A_55_P1972449,3.426291386,3.309160504,3.431835951,3.301541795,3.66437216,3.598417936,3.551094024,3.577435861,3.529001972,3.582143636,3.665911072,3.697891129
Sh3bp2,A_55_P2042823,-3.190377998,-3.33281064,-3.487864502,-3.296531081,-3.493690993,-3.28863492,-3.740394655,-2.679840361,-3.504657368,-3.543240319,-3.371656224,-3.316514499
Sh3bp4,NONMMUT001959,-3.609067744,-4.370920585,-3.985049869,-3.511698502,-4.337747654,-3.669891692,-3.847380708,-4.202516519,-3.708072091,-4.055007594,-4.060313596,-3.90100118
Sh3bp5,A_55_P2049473,5.351035196,5.112597954,5.158645311,4.946260005,5.309588118,5.024037904,5.32249457,4.879584877,5.186225288,4.953202888,5.175812806,5.034520328
Sh3bp5l,A_55_P2149274,4.572403968,4.559720139,4.550977841,4.340961127,4.610038933,4.484210229,4.371040778,4.689370308,4.621869143,4.49858598,4.56157353,4.722889196
Sh3d19,A_52_P273169,4.318864995,3.997247898,4.120448955,4.114693533,4.418364126,4.309725491,4.258672084,4.312634747,4.226555994,3.961492054,4.104882398,4.37572358
Sh3d21,A_55_P1983368,-0.575845457,-0.503731686,-0.347439729,-0.285798794,0.02049331,-0.09299574,-0.611859909,-0.320394043,-0.351965497,-0.244193654,-0.249075853,0.019428564
Sh3gl1,A_51_P517094,0.72567214,0.96728631,0.314731392,0.527085348,0.38633427,0.270584897,0.464753976,0.313633916,0.255994359,0.224750194,0.532228526,0.517670738
Sh3gl2,A_55_P2130249,3.726041839,3.909800818,3.74196269,3.699764475,3.852912793,3.664428067,3.206625477,3.759510054,3.795710762,3.342967861,3.676870328,3.828088098
